artifact_id,stage,system,artifact_type,path,status,provenance_status,manuscript_eligible,notes
P0-CAMPAIGN,candidate_generation,apatite chemical systems,generation campaign,,missing,none,no,"No results directory, summary, configuration snapshot, or run manifest is present."
P1-HT-PIPELINE,screening,apatite candidates,workflow implementation,1.HT_Screening,partial,path_only,no,"Several README and core screening files are empty or placeholders; no adsorption ranking exists."
GEO-002,geometry_optimization,HAP(002),CP2K log,2.GeoOpt_PreRelax/HAP_002_Perfect/cp2k_run/HAP_002_opt.log,completed,legacy_unverified,no,"Log declares geometry optimization completed; no run manifest or independent convergence review."
GEO-004,geometry_optimization,HAP(004),CP2K log,2.GeoOpt_PreRelax/HAP_004_Perfect/cp2k_run/HAP_004_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
GEO-100,geometry_optimization,HAP(100),CP2K log,2.GeoOpt_PreRelax/HAP_100_Perfect/cp2k_run/HAP_100_opt.log,partial,legacy_unverified,no,"Maximum optimization steps reached."
GEO-102,geometry_optimization,HAP(102),CP2K log,2.GeoOpt_PreRelax/HAP_102_Perfect/cp2k_run/HAP_102_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
GEO-111,geometry_optimization,HAP(111),CP2K log,2.GeoOpt_PreRelax/HAP_111_Perfect/cp2k_run/HAP_111_opt.log,partial,legacy_unverified,no,"Program ended without a geometry-optimization-completed marker."
GEO-112,geometry_optimization,HAP(112),CP2K log,2.GeoOpt_PreRelax/HAP_112_Perfect/cp2k_run/HAP_112_opt.log,invalid,legacy_unverified,no,"Log is incomplete and associated inputs contain unresolved conflict markers."
GEO-200,geometry_optimization,HAP(200),CP2K log,2.GeoOpt_PreRelax/HAP_200_Perfect/cp2k_run/HAP_200_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
GEO-202,geometry_optimization,HAP(202),CP2K log,2.GeoOpt_PreRelax/HAP_202_Perfect/cp2k_run/HAP_202_opt.log,invalid,legacy_unverified,no,"Maximum optimization steps reached and inputs contain unresolved conflict markers."
GEO-211,geometry_optimization,HAP(211),CP2K log,2.GeoOpt_PreRelax/HAP_211_Perfect/cp2k_run/HAP_211_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
GEO-213,geometry_optimization,HAP(213),CP2K log,2.GeoOpt_PreRelax/HAP_213_Perfect/cp2k_run/HAP_213_opt.log,invalid,legacy_unverified,no,"Maximum optimization steps reached and inputs/coordinates contain unresolved conflict markers."
GEO-214,geometry_optimization,HAP(214),CP2K log,,missing,none,no,"Expected HAP_214_opt.log is absent."
GEO-222,geometry_optimization,HAP(222),CP2K log,2.GeoOpt_PreRelax/HAP_222_Perfect/cp2k_run/HAP_222_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
GEO-300,geometry_optimization,HAP(300),CP2K log,2.GeoOpt_PreRelax/HAP_300_Perfect/cp2k_run/HAP_300_opt.log,partial,legacy_unverified,no,"Maximum optimization steps reached."
GEO-304,geometry_optimization,HAP(304),CP2K log,2.GeoOpt_PreRelax/HAP_304_Perfect/cp2k_run/HAP_304_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
GEO-310,geometry_optimization,HAP(310),CP2K log,2.GeoOpt_PreRelax/HAP_310_Perfect/cp2k_run/HAP_310_opt.log,partial,legacy_unverified,no,"Maximum optimization steps reached."
GEO-311,geometry_optimization,HAP(311),CP2K log,2.GeoOpt_PreRelax/HAP_311_Perfect/cp2k_run/HAP_311_opt.log,failed,legacy_unverified,no,"CP2K abort marker found."
