# Time-averaged data for fix adsorption_analysis
# TimeStep c_avg_site_ca c_avg_site_p c_avg_site_o c_avg_site_h c_count_strong_sites c_count_medium_sites c_count_weak_sites
43900 0 0 1 0 0 0 1
44000 0 0 1 0 0 0 1
44100 0 0 1 0 0 0 1
44200 0 0 1 0 0 0 1
44300 0 0 1 0 0 0 1
44400 0 0 1 0 0 0 1
44500 0 0 1 0 0 0 1
44600 0 0 1 0 0 0 1
44700 0 0 1 0 0 0 1
44800 0 0 1 0 0 0 1
44900 0 0 1 0 0 0 1
45000 0 0 1 0 0 0 1
45100 0 0 1 0 0 0 1
45200 0 0 1 0 0 0 1
45300 0 0 1 0 0 0 1
45400 0 0 1 0 0 0 1
45500 0 0 1 0 0 0 1
45600 0 0 1 0 0 0 1
45700 0 0 1 0 0 0 1
45800 0 0 1 0 0 0 1
45900 0 0 1 0 0 0 1
46000 0 0 1 0 0 0 1
46100 0 0 1 0 0 0 1
46200 0 0 1 0 0 0 1
46300 0 0 1 0 0 0 1
46400 0 0 1 0 0 0 1
46500 0 0 1 0 0 0 1
46600 0 0 1 0 0 0 1
46700 0 0 1 0 0 0 1
46800 0 0 1 0 0 0 1
46900 0 0 1 0 0 0 1
47000 0 0 1 0 0 0 1
47100 0 0 1 0 0 0 1
47200 0 0 1 0 0 0 1
47300 0 0 1 0 0 0 1
47400 0 0 1 0 0 0 1
47500 0 0 1 0 0 0 1
47600 0 0 1 0 0 0 1
47700 0 0 1 0 0 0 1
47800 0 0 1 0 0 0 1
47900 0 0 1 0 0 0 1
48000 0 0 1 0 0 0 1
48100 0 0 1 0 0 0 1
48200 0 0 1 0 0 0 1
48300 0 0 1 0 0 0 1
48400 0 0 1 0 0 0 1
48500 0 0 1 0 0 0 1
48600 0 0 1 0 0 0 1
48700 0 0 1 0 0 0 1
48800 0 0 1 0 0 0 1
48900 0 0 1 0 0 0 1
49000 0 0 1 0 0 0 1
49100 0 0 1 0 0 0 1
49200 0 0 1 0 0 0 1
49300 0 0 1 0 0 0 1
49400 0 0 1 0 0 0 1
49500 0 0 1 0 0 0 1
49600 0 0 1 0 0 0 1
49700 0 0 1 0 0 0 1
49800 0 0 1 0 0 0 1
49900 0 0 1 0 0 0 1
50000 0 0 1 0 0 0 1
50100 0 0 1 0 0 0 1
50200 0 0 1 0 0 0 1
50300 0 0 1 0 0 0 1
50400 0 0 1 0 0 0 1
50500 0 0 1 0 0 0 1
50600 0 0 1 0 0 0 1
50700 0 0 1 0 0 0 1
50800 0 0 1 0 0 0 1
50900 0 0 1 0 0 0 1
51000 0 0 1 0 0 0 1
51100 0 0 1 0 0 0 1
51200 0 0 1 0 0 0 1
51300 0 0 1 0 0 0 1
51400 0 0 1 0 0 0 1
51500 0 0 1 0 0 0 1
51600 0 0 1 0 0 0 1
51700 0 0 1 0 0 0 1
51800 0 0 1 0 0 0 1
51900 0 0 1 0 0 0 1
52000 0 0 1 0 0 0 1
52100 0 0 1 0 0 0 1
52200 0 0 1 0 0 0 1
52300 0 0 1 0 0 0 1
52400 0 0 1 0 0 0 1
52500 0 0 1 0 0 0 1
52600 0 0 1 0 0 0 1
52700 0 0 1 0 0 0 1
52800 0 0 1 0 0 0 1
52900 0 0 1 0 0 0 1
53000 0 0 1 0 0 0 1
53100 0 0 1 0 0 0 1
53200 0 0 1 0 0 0 1
53300 0 0 1 0 0 0 1
53400 0 0 1 0 0 0 1
53500 0 0 1 0 0 0 1
53600 0 0 1 0 0 0 1
53700 0 0 1 0 0 0 1
53800 0 0 1 0 0 0 1
53900 0 0 1 0 0 0 1
54000 0 0 1 0 0 0 1
54100 0 0 1 0 0 0 1
54200 0 0 1 0 0 0 1
54300 0 0 1 0 0 0 1
54400 0 0 1 0 0 0 1
54500 0 0 1 0 0 0 1
54600 0 0 1 0 0 0 1
54700 0 0 1 0 0 0 1
54800 0 0 1 0 0 0 1
54900 0 0 1 0 0 0 1
55000 0 0 1 0 0 0 1
55100 0 0 1 0 0 0 1
55200 0 0 1 0 0 0 1
55300 0 0 1 0 0 0 1
55400 0 0 1 0 0 0 1
55500 0 0 1 0 0 0 1
55600 0 0 1 0 0 0 1
55700 0 0 1 0 0 0 1
55800 0 0 1 0 0 0 1
55900 0 0 1 0 0 0 1
56000 0 0 1 0 0 0 1
56100 0 0 1 0 0 0 1
56200 0 0 1 0 0 0 1
56300 0 0 1 0 0 0 1
56400 0 0 1 0 0 0 1
56500 0 0 1 0 0 0 1
56600 0 0 1 0 0 0 1
56700 0 0 1 0 0 0 1
56800 0 0 1 0 0 0 1
56900 0 0 1 0 0 0 1
57000 0 0 1 0 0 0 1
57100 0 0 1 0 0 0 1
57200 0 0 1 0 0 0 1
57300 0 0 1 0 0 0 1
57400 0 0 1 0 0 0 1
57500 0 0 1 0 0 0 1
57600 0 0 1 0 0 0 1
57700 0 0 1 0 0 0 1
57800 0 0 1 0 0 0 1
57900 0 0 1 0 0 0 1
58000 0 0 1 0 0 0 1
58100 0 0 1 0 0 0 1
58200 0 0 1 0 0 0 1
58300 0 0 1 0 0 0 1
58400 0 0 1 0 0 0 1
58500 0 0 1 0 0 0 1
58600 0 0 1 0 0 0 1
58700 0 0 1 0 0 0 1
58800 0 0 1 0 0 0 1
58900 0 0 1 0 0 0 1
59000 0 0 1 0 0 0 1
59100 0 0 1 0 0 0 1
59200 0 0 1 0 0 0 1
59300 0 0 1 0 0 0 1
59400 0 0 1 0 0 0 1
59500 0 0 1 0 0 0 1
59600 0 0 1 0 0 0 1
59700 0 0 1 0 0 0 1
59800 0 0 1 0 0 0 1
59900 0 0 1 0 0 0 1
60000 0 0 1 0 0 0 1
60100 0 0 1 0 0 0 1
60200 0 0 1 0 0 0 1
60300 0 0 1 0 0 0 1
60400 0 0 1 0 0 0 1
60500 0 0 1 0 0 0 1
60600 0 0 1 0 0 0 1
60700 0 0 1 0 0 0 1
60800 0 0 2 0 0 0 1
60900 0 0 2 0 0 0 1
61000 0 0 2 0 0 0 1
61100 0 0 2 0 0 0 1
61200 0 0 2 0 0 0 1
61300 0 0 2 0 0 0 1
61400 0 0 2 0 0 0 1
61500 0 0 2 0 0 0 1
61600 0 0 2 0 0 0 1
61700 0 0 1 0 0 0 1
61800 0 0 1 0 0 0 1
61900 0 0 1 0 0 0 1
62000 0 0 1 0 0 0 1
62100 0 0 1 0 0 0 1
62200 0 0 1 0 0 0 1
62300 0 0 1 0 0 0 1
62400 0 0 1 0 0 0 1
62500 0 0 1 0 0 0 1
62600 0 0 1 0 0 0 1
62700 0 0 1 0 0 0 1
62800 0 0 1 0 0 0 1
62900 0 0 1 0 0 0 1
63000 0 0 1 0 0 0 1
63100 0 0 1 0 0 0 1
63200 0 0 1 0 0 0 1
63300 0 0 1 0 0 0 1
63400 0 0 1 0 0 0 1
63500 0 0 1 0 0 0 1
63600 0 0 1 0 0 0 1
63700 0 0 1 0 0 0 1
63800 0 0 1 0 0 0 1
63900 0 0 1 0 0 0 1
64000 0 0 1 0 0 0 1
64100 0 0 1 0 0 0 1
64200 0 0 1 0 0 0 1
64300 0 0 1 0 0 0 1
64400 0 0 1 0 0 0 1
64500 0 0 1 0 0 0 1
64600 0 0 1 0 0 0 1
64700 0 0 1 0 0 0 1
64800 0 0 1 0 0 0 1
64900 0 0 1 0 0 0 1
65000 0 0 1 0 0 0 1
65100 0 0 1 0 0 0 1
65200 0 0 1 0 0 0 1
65300 0 0 1 0 0 0 1
65400 0 0 1 0 0 0 1
65500 0 0 1 0 0 0 1
65600 0 0 1 0 0 0 1
65700 0 0 1 0 0 0 1
65800 0 0 1 0 0 0 1
65900 0 0 1 0 0 0 1
66000 0 0 1 0 0 0 1
66100 0 0 1 0 0 0 1
66200 0 0 1 0 0 0 1
66300 0 0 1 0 0 0 1
66400 0 0 1 0 0 0 1
66500 0 0 1 0 0 0 1
66600 0 0 1 0 0 0 1
66700 0 0 1 0 0 0 1
66800 0 0 1 0 0 0 1
66900 0 0 1 0 0 0 1
67000 0 0 1 0 0 0 1
67100 0 0 1 0 0 0 1
67200 0 0 1 0 0 0 1
67300 0 0 1 0 0 0 1
67400 0 0 1 0 0 0 1
67500 0 0 1 0 0 0 1
67600 0 0 1 0 0 0 1
67700 0 0 1 0 0 0 1
67800 0 0 1 0 0 0 1
67900 0 0 1 0 0 0 1
68000 0 0 1 0 0 0 1
68100 0 0 1 0 0 0 1
68200 0 0 1 0 0 0 1
68300 0 0 1 0 0 0 1
68400 0 0 1 0 0 0 1
68500 0 0 1 0 0 0 1
68600 0 0 2 0 0 0 1
68700 0 0 2 0 0 0 1
68800 0 0 2 0 0 0 1
68900 0 0 2 0 0 0 1
69000 0 0 2 0 0 0 1
69100 0 0 2 0 0 0 1
69200 0 0 2 0 0 0 1
69300 0 0 2 0 0 0 1
69400 0 0 1 0 0 0 1
69500 0 0 1 0 0 0 1
69600 0 0 1 0 0 0 1
69700 0 0 1 0 0 0 1
69800 0 0 1 0 0 0 1
69900 0 0 1 0 0 0 1
70000 0 0 1 0 0 0 1
70100 0 0 1 0 0 0 1
70200 0 0 1 0 0 0 1
70300 0 0 1 0 0 0 1
70400 0 0 1 0 0 0 1
70500 0 0 1 0 0 0 1
70600 0 0 1 0 0 0 1
70700 0 0 1 0 0 0 1
70800 0 0 1 0 0 0 1
70900 0 0 1 0 0 0 1
71000 0 0 1 0 0 0 1
71100 0 0 1 0 0 0 1
71200 0 0 1 0 0 0 1
71300 0 0 1 0 0 0 1
71400 0 0 1 0 0 0 1
71500 0 0 1 0 0 0 1
71600 0 0 1 0 0 0 1
71700 0 0 1 0 0 0 1
71800 0 0 1 0 0 0 1
71900 0 0 1 0 0 0 1
72000 0 0 1 0 0 0 1
72100 0 0 1 0 0 0 1
72200 0 0 1 0 0 0 1
72300 0 0 1 0 0 0 1
72400 0 0 1 0 0 0 1
72500 0 0 1 0 0 0 1
72600 0 0 1 0 0 0 1
72700 0 0 1 0 0 0 1
72800 0 0 1 0 0 0 1
72900 0 0 1 0 0 0 1
73000 0 0 1 0 0 0 1
73100 0 0 1 0 0 0 1
73200 0 0 1 0 0 0 1
73300 0 0 1 0 0 0 1
73400 0 0 1 0 0 0 1
73500 0 0 1 0 0 0 1
73600 0 0 1 0 0 0 1
73700 0 0 1 0 0 0 1
73800 0 0 1 0 0 0 1
73900 0 0 1 0 0 0 1
74000 0 0 1 0 0 0 1
74100 0 0 1 0 0 0 1
74200 0 0 1 0 0 0 1
74300 0 0 1 0 0 0 1
74400 0 0 1 0 0 0 1
74500 0 0 1 0 0 0 1
74600 0 0 1 0 0 0 1
74700 0 0 1 0 0 0 1
74800 0 0 1 0 0 0 1
74900 0 0 1 0 0 0 1
75000 0 0 1 0 0 0 1
75100 0 0 1 0 0 0 1
75200 0 0 1 0 0 0 1
75300 0 0 1 0 0 0 1
75400 0 0 1 0 0 0 1
75500 0 0 1 0 0 0 1
75600 0 0 1 0 0 0 1
75700 0 0 1 0 0 0 1
75800 0 0 1 0 0 0 1
75900 0 0 1 0 0 0 1
76000 0 0 1 0 0 0 1
76100 0 0 1 0 0 0 1
76200 0 0 1 0 0 0 1
76300 0 0 1 0 0 0 1
76400 0 0 2 0 0 0 1
76500 0 0 2 0 0 0 1
76600 0 0 2 0 0 0 1
76700 0 0 2 0 0 0 1
76800 0 0 2 0 0 0 1
76900 0 0 2 0 0 0 1
77000 0 0 2 0 0 0 1
77100 0 0 2 0 0 0 1
77200 0 0 2 0 0 0 1
77300 0 0 2 0 0 0 1
77400 0 0 1 0 0 0 1
77500 0 0 1 0 0 0 1
77600 0 0 1 0 0 0 1
77700 0 0 1 0 0 0 1
77800 0 0 1 0 0 0 1
77900 0 0 1 0 0 0 1
78000 0 0 1 0 0 0 1
78100 0 0 1 0 0 0 1
78200 0 0 1 0 0 0 1
78300 0 0 1 0 0 0 1
78400 0 0 1 0 0 0 1
78500 0 0 1 0 0 0 1
78600 0 0 1 0 0 0 1
78700 0 0 1 0 0 0 1
78800 0 0 1 0 0 0 1
78900 0 0 1 0 0 0 1
79000 0 0 1 0 0 0 1
79100 0 0 1 0 0 0 1
79200 0 0 1 0 0 0 1
79300 0 0 1 0 0 0 1
79400 0 0 1 0 0 0 1
79500 0 0 1 0 0 0 1
79600 0 0 1 0 0 0 1
79700 0 0 1 0 0 0 1
79800 0 0 1 0 0 0 1
79900 0 0 1 0 0 0 1
80000 0 0 1 0 0 0 1
80100 0 0 1 0 0 0 1
80200 0 0 1 0 0 0 1
80300 0 0 1 0 0 0 1
80400 0 0 1 0 0 0 1
80500 0 0 1 0 0 0 1
80600 0 0 1 0 0 0 1
80700 0 0 1 0 0 0 1
80800 0 0 1 0 0 0 1
80900 0 0 1 0 0 0 1
81000 0 0 1 0 0 0 1
81100 0 0 1 0 0 0 1
81200 0 0 1 0 0 0 1
81300 0 0 1 0 0 0 1
81400 0 0 1 0 0 0 1
81500 0 0 1 0 0 0 1
81600 0 0 1 0 0 0 1
81700 0 0 1 0 0 0 1
81800 0 0 1 0 0 0 1
81900 0 0 1 0 0 0 1
82000 0 0 1 0 0 0 1
82100 0 0 1 0 0 0 1
82200 0 0 1 0 0 0 1
82300 0 0 1 0 0 0 1
82400 0 0 1 0 0 0 1
82500 0 0 1 0 0 0 1
82600 0 0 1 0 0 0 1
82700 0 0 1 0 0 0 1
82800 0 0 1 0 0 0 1
82900 0 0 1 0 0 0 1
83000 0 0 1 0 0 0 1
83100 0 0 1 0 0 0 1
83200 0 0 1 0 0 0 1
83300 0 0 1 0 0 0 1
83400 0 0 1 0 0 0 1
83500 0 0 1 0 0 0 1
83600 0 0 1 0 0 0 1
83700 0 0 1 0 0 0 1
83800 0 0 1 0 0 0 1
83900 0 0 1 0 0 0 1
84000 0 0 2 0 0 0 1
84100 0 0 2 0 0 0 1
84200 0 0 2 0 0 0 1
84300 0 0 2 0 0 0 1
84400 0 0 1 0 0 0 1
84500 0 0 1 0 0 0 1
84600 0 0 1 0 0 0 1
84700 0 0 1 0 0 0 1
84800 0 0 1 0 0 0 1
84900 0 0 1 0 0 0 1
85000 0 0 1 0 0 0 1
85100 0 0 1 0 0 0 1
85200 0 0 1 0 0 0 1
85300 0 0 1 0 0 0 1
85400 0 0 1 0 0 0 1
85500 0 0 1 0 0 0 1
85600 0 0 1 0 0 0 1
85700 0 0 1 0 0 0 1
85800 0 0 1 0 0 0 1
85900 0 0 1 0 0 0 1
86000 0 0 1 0 0 0 1
86100 0 0 1 0 0 0 1
86200 0 0 1 0 0 0 1
86300 0 0 1 0 0 0 1
86400 0 0 1 0 0 0 1
86500 0 0 1 0 0 0 1
86600 0 0 1 0 0 0 1
86700 0 0 1 0 0 0 1
86800 0 0 1 0 0 0 1
86900 0 0 1 0 0 0 1
87000 0 0 1 0 0 0 1
87100 0 0 1 0 0 0 1
87200 0 0 1 0 0 0 1
87300 0 0 1 0 0 0 1
87400 0 0 1 0 0 0 1
87500 0 0 1 0 0 0 1
87600 0 0 1 0 0 0 1
87700 0 0 1 0 0 0 1
87800 0 0 1 0 0 0 1
87900 0 0 1 0 0 0 1
88000 0 0 1 0 0 0 1
88100 0 0 1 0 0 0 1
88200 0 0 1 0 0 0 1
88300 0 0 1 0 0 0 1
88400 0 0 1 0 0 0 1
88500 0 0 1 0 0 0 1
88600 0 0 1 0 0 0 1
88700 0 0 1 0 0 0 1
88800 0 0 1 0 0 0 1
88900 0 0 1 0 0 0 1
89000 0 0 1 0 0 0 1
89100 0 0 1 0 0 0 1
89200 0 0 1 0 0 0 1
89300 0 0 1 0 0 0 1
